Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV)
PC12,MTT,SiO2,12,1.95,113.67,386.9,-35.9
PC12,MTT,SiO2,12,3.9,97.265,386.9,-35.9
PC12,MTT,SiO2,12,7.8,108.73,386.9,-35.9
PC12,MTT,SiO2,12,15.6,98.451,386.9,-35.9
PC12,MTT,SiO2,12,31.2,98.056,386.9,-35.9
PC12,MTT,SiO2,12,62.5,100.43,386.9,-35.9
PC12,MTT,SiO2,12,125,95.881,386.9,-35.9
PC12,MTT,SiO2,12,250,79.473,386.9,-35.9
PC12,MTT,SiO2,12,500,94.893,386.9,-35.9
PC12,MTT,SiO2,12,1000,79.275,386.9,-35.9
PC12,MTT,SiO2,24,1.95,105.21,386.9,-35.9
PC12,MTT,SiO2,24,3.9,120.85,386.9,-35.9
PC12,MTT,SiO2,24,7.8,117.25,386.9,-35.9
PC12,MTT,SiO2,24,15.6,106.06,386.9,-35.9
PC12,MTT,SiO2,24,31.2,84.93,386.9,-35.9
PC12,MTT,SiO2,24,62.5,96.127,386.9,-35.9
PC12,MTT,SiO2,24,125,94.225,386.9,-35.9
PC12,MTT,SiO2,24,250,103.94,386.9,-35.9
PC12,MTT,SiO2,24,500,79.014,386.9,-35.9
PC12,MTT,SiO2,24,1000,63.803,386.9,-35.9
PC12,MTT,SiO2,12,1.95,97.463,375.4,-26.8
PC12,MTT,SiO2,12,3.9,95.486,375.4,-26.8
PC12,MTT,SiO2,12,7.8,89.951,375.4,-26.8
PC12,MTT,SiO2,12,15.6,105.96,375.4,-26.8
PC12,MTT,SiO2,12,31.2,95.091,375.4,-26.8
PC12,MTT,SiO2,12,62.5,96.474,375.4,-26.8
PC12,MTT,SiO2,12,125,94.3,375.4,-26.8
PC12,MTT,SiO2,12,250,72.356,375.4,-26.8
PC12,MTT,SiO2,12,500,70.774,375.4,-26.8
PC12,MTT,SiO2,12,1000,71.763,375.4,-26.8
PC12,MTT,SiO2,24,1.95,103.52,375.4,-26.8
PC12,MTT,SiO2,24,3.9,96.761,375.4,-26.8
PC12,MTT,SiO2,24,7.8,109.86,375.4,-26.8
PC12,MTT,SiO2,24,15.6,122.75,375.4,-26.8
PC12,MTT,SiO2,24,31.2,104.58,375.4,-26.8
PC12,MTT,SiO2,24,62.5,118.73,375.4,-26.8
PC12,MTT,SiO2,24,125,94.648,375.4,-26.8
PC12,MTT,SiO2,24,250,103.1,375.4,-26.8
PC12,MTT,SiO2,24,500,105.63,375.4,-26.8
PC12,MTT,SiO2,24,1000,80.493,375.4,-26.8
PC12,MTT,SiO2,12,1.95,120,437,21.7
PC12,MTT,SiO2,12,3.9,119.41,437,21.7
PC12,MTT,SiO2,12,7.8,109.52,437,21.7
PC12,MTT,SiO2,12,15.6,111.3,437,21.7
PC12,MTT,SiO2,12,31.2,114.86,437,21.7
